"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.226033329E-2,9.330322266E0,-2.062286377E0,-4.963589478E1,5.054730447E1
3.231933329E-2,9.210937500E0,-2.007453918E0,-4.976605225E1,5.065107301E1
4.237733327E-2,9.138763428E0,-2.005718231E0,-4.978775024E1,5.065925362E1
5.243633327E-2,9.005340576E0,-2.074916840E0,-4.953643799E1,5.039107190E1
6.249433325E-2,8.941772461E0,-2.060237885E0,-4.993032837E1,5.076650043E1
7.255333324E-2,8.543334961E0,-1.782241821E0,-4.969027710E1,5.045085328E1
8.261133323E-2,8.137023926E0,-1.835597992E0,-4.997921753E1,5.067053151E1
9.267033334E-2,8.160827637E0,-1.806205750E0,-4.989703369E1,5.059224702E1
1.027283333E-1,7.836364746E0,-1.854537964E0,-4.979571533E1,5.044265248E1
1.127873333E-1,7.643493652E0,-1.832630157E0,-4.986447144E1,5.048016482E1
1.228453333E-1,7.742385864E0,-1.598270416E0,-4.984304810E1,5.046611190E1
1.329043333E-1,7.683105469E0,-1.733070374E0,-4.973852539E1,5.035826199E1
1.429633333E-1,7.687103271E0,-2.035385132E0,-5.009738159E1,5.072456990E1
1.530213333E-1,7.985717773E0,-1.915821075E0,-5.004776001E1,5.071706163E1
1.630803333E-1,7.844589233E0,-1.846317291E0,-5.018728638E1,5.083020934E1
1.731383333E-1,7.909439087E0,-1.744544983E0,-5.003176880E1,5.068313874E1
1.831973332E-1,7.963607788E0,-1.809883118E0,-4.975854492E1,5.042427509E1
1.932553332E-1,7.967117310E0,-1.702407837E0,-5.001617432E1,5.067534750E1
2.033143333E-1,8.112915039E0,-1.636913300E0,-5.006710815E1,5.074656830E1
2.133724582E-1,7.848297119E0,-1.608402252E0,-4.990576172E1,5.054471068E1
2.234314582E-1,7.837203979E0,-1.688011169E0,-5.036129761E1,5.099540611E1
2.334894583E-1,7.739807129E0,-1.600807190E0,-5.007113647E1,5.069108310E1
2.435484583E-1,7.922286987E0,-1.630962372E0,-5.020083618E1,5.084827060E1
2.536074583E-1,8.150680542E0,-1.950038910E0,-4.981774902E1,5.051776284E1
2.636654583E-1,8.217041016E0,-1.731983185E0,-4.964019775E1,5.034549396E1
2.737244583E-1,8.375961304E0,-1.769630432E0,-5.006567383E1,5.079232241E1
2.837824583E-1,8.180603027E0,-1.690101624E0,-4.997442627E1,5.066776086E1
2.938414583E-1,8.471115112E0,-1.757820129E0,-4.958560181E1,5.033469608E1
3.038994583E-1,8.574432373E0,-1.801544189E0,-4.956646729E1,5.033488980E1
3.139584583E-1,8.894271851E0,-1.778762817E0,-4.953897095E1,5.036250303E1
