"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.071250008E-2,2.340357971E1,-3.901805115E1,-2.767181396E1,5.325284168E1
2.077150007E-2,2.351658630E1,-3.905274200E1,-2.794390869E1,5.346969723E1
3.083050007E-2,2.350714111E1,-3.895349121E1,-2.803076172E1,5.343859807E1
4.088950006E-2,2.350308228E1,-3.859409332E1,-2.802490234E1,5.317230545E1
5.094850005E-2,2.364080811E1,-3.854974365E1,-2.867996216E1,5.354914353E1
6.100750004E-2,2.338775635E1,-3.837527466E1,-2.880245972E1,5.337818410E1
7.106650004E-2,2.326116943E1,-3.846360779E1,-2.908334351E1,5.353850948E1
8.112450002E-2,2.298194885E1,-3.839736176E1,-2.923016357E1,5.345025562E1
9.118350002E-2,2.275210571E1,-3.805591583E1,-3.010400391E1,5.359255634E1
1.012425000E-1,2.228938293E1,-3.797888947E1,-3.066003418E1,5.365864639E1
1.113015000E-1,2.217674255E1,-3.769934845E1,-3.113980103E1,5.369111651E1
1.213605000E-1,2.204011536E1,-3.777209473E1,-3.131350708E1,5.378692732E1
1.314195001E-1,2.185740662E1,-3.755574036E1,-3.147302246E1,5.365380695E1
1.414785001E-1,2.163362122E1,-3.735013580E1,-3.190606689E1,5.367535110E1
1.515375001E-1,2.120027161E1,-3.716600037E1,-3.235015869E1,5.364043127E1
1.615965001E-1,2.102156067E1,-3.727581787E1,-3.245800781E1,5.371140365E1
1.716555001E-1,2.078375244E1,-3.719604492E1,-3.275454712E1,5.374356222E1
1.817145001E-1,2.068826294E1,-3.710072327E1,-3.292010498E1,5.374198733E1
1.917735001E-1,2.034219360E1,-3.681253052E1,-3.344363403E1,5.373494116E1
2.018325001E-1,2.014341736E1,-3.680233765E1,-3.379336548E1,5.387170750E1
2.118905000E-1,1.985339355E1,-3.668186951E1,-3.388671875E1,5.374036187E1
2.219495000E-1,1.976612854E1,-3.679339600E1,-3.425515747E1,5.401730870E1
2.320085000E-1,1.944796753E1,-3.656478119E1,-3.457931519E1,5.395308799E1
2.420675000E-1,1.916706848E1,-3.678456879E1,-3.422711182E1,5.377709734E1
2.521265000E-1,1.907380676E1,-3.654385376E1,-3.492419434E1,5.402742546E1
2.621855000E-1,1.888212585E1,-3.652462006E1,-3.515542603E1,5.409701032E1
2.722445000E-1,1.854809570E1,-3.615429688E1,-3.530139160E1,5.382706834E1
2.823035000E-1,1.847319031E1,-3.614732361E1,-3.565115356E1,5.402677590E1
2.923625001E-1,1.816007996E1,-3.601631927E1,-3.607278442E1,5.411293315E1
3.024215001E-1,1.810766602E1,-3.567060089E1,-3.607495117E1,5.386725757E1
3.124805001E-1,1.810354614E1,-3.519670868E1,-3.624279785E1,5.366644278E1
3.225395001E-1,1.778837585E1,-3.542833710E1,-3.675970459E1,5.406356691E1
3.325985001E-1,1.745741272E1,-3.503750610E1,-3.673565674E1,5.368329879E1
3.426575001E-1,1.736386108E1,-3.491805267E1,-3.734939575E1,5.399769844E1
3.527155000E-1,1.701480103E1,-3.467362976E1,-3.765988159E1,5.394470072E1
3.627745000E-1,1.710234070E1,-3.450724030E1,-3.796237183E1,5.407754955E1
3.728335000E-1,1.687579346E1,-3.390390015E1,-3.883554077E1,5.424450273E1
